"Country Name","Country Code","Year","average_value_Grants, excluding technical cooperation (BoP, current US$)","average_value_Incidence of tuberculosis (per 100,000 people)","average_value_Maternal mortality ratio (modeled estimate, per 100,000 live births)","average_value_Mortality rate, under-5 (per 1,000 live births)","average_value_Net ODA received (% of GNI)","average_value_Net ODA received (% of gross capital formation)","average_value_Net ODA received (% of imports of goods, services and primary income)","average_value_Net ODA received per capita (current US$)","average_value_Net bilateral aid flows from DAC donors, Belgium (current US$)","average_value_Net bilateral aid flows from DAC donors, European Union institutions (current US$)","average_value_Net bilateral aid flows from DAC donors, Japan (current US$)","average_value_Net bilateral aid flows from DAC donors, Luxembourg (current US$)","average_value_Net bilateral aid flows from DAC donors, Netherlands (current US$)","average_value_Net bilateral aid flows from DAC donors, New Zealand (current US$)","average_value_Net bilateral aid flows from DAC donors, Norway (current US$)","average_value_Net bilateral aid flows from DAC donors, Poland (current US$)","average_value_Net bilateral aid flows from DAC donors, Portugal (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovak Republic (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovenia (current US$)","average_value_Net bilateral aid flows from DAC donors, Sweden (current US$)","average_value_Net bilateral aid flows from DAC donors, Switzerland (current US$)","average_value_Net bilateral aid flows from DAC donors, Total (current US$)","average_value_Net bilateral aid flows from DAC donors, United Kingdom (current US$)","average_value_Net bilateral aid flows from DAC donors, United States (current US$)","average_value_Net migration","average_value_Net official aid received (constant 2018 US$)","average_value_Net official aid received (current US$)","average_value_Net official development assistance and official aid received (constant 2018 US$)","average_value_Net official development assistance and official aid received (current US$)","average_value_Net official development assistance received (constant 2018 US$)","average_value_Net official development assistance received (current US$)","average_value_Net official flows from UN agencies, FAO (current US$)","average_value_Net official flows from UN agencies, IAEA (current US$)","average_value_Net official flows from UN agencies, IFAD (current US$)","average_value_Net official flows from UN agencies, ILO (current US$)","average_value_Net official flows from UN agencies, UNAIDS (current US$)","average_value_Net official flows from UN agencies, UNDP (current US$)","average_value_Net official flows from UN agencies, UNFPA (current US$)","average_value_Net official flows from UN agencies, UNHCR (current US$)","average_value_Net official flows from UN agencies, UNICEF (current US$)","average_value_Net official flows from UN agencies, UNPBF (current US$)","average_value_Net official flows from UN agencies, UNTA (current US$)","average_value_Net official flows from UN agencies, WFP (current US$)","average_value_Net official flows from UN agencies, WHO (current US$)","average_value_Pregnant women receiving prenatal care (%)","average_value_Prevalence of HIV, total (% of population ages 15-49)","average_value_Primary completion rate, total (% of relevant age group)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_Technical cooperation grants (BoP, current US$)","average_value_Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
"South Africa","ZAF","1995","156160000","","","59.4","0.253083827036472","1.29602336868261","1.0329319018363","9.31972779328788","5559999.94277954","59240001.6784668","4340000.15258789","129999.995231628","44479999.5422363","409999.996423721","20030000.6866455","","79999.9982118607","","","19600000.3814697","8590000.15258789","377740003.89874","23930000.3051758","107000000","","","","531429992.675781","386170013.427734","531429992.675781","386170013.427734","","","","","","29999.9993294477","639999.985694885","1879999.99523163","2210000.03814697","","660000.026226044","","","89","5.3","","","211570000","10.150000333786"
"South Africa","ZAF","2004","367420000","1150","195","78.1","0.281618377922248","1.49625241943931","0.950892007471589","13.3556456494411","14670000.0762939","143300003.051758","18829999.9237061","1870000.00476837","55650001.5258789","1240000.00953674","15939999.5803833","","400000.005960464","","","25579999.9237061","7030000.20980835","602570006.802678","87059997.5585938","94660003.6621094","","","","726719970.703125","631609985.351563","726719970.703125","631609985.351563","","","","","","3059999.94277954","319999.992847443","2710000.03814697","1120000.00476837","","3019999.98092651","","","91.9","15.4","95.6549224853516","1.0083099603653","238170000","10.6000003814697"
"South Africa","ZAF","1980","","","","92.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zambia","ZMB","1988","242110000","","","176.6","14.3672875258154","","30.045563775427","62.4852760930182","5150000.09536743","34580001.8310547","90589996.3378906","","25780000.6866455","29999.9993294477","40240001.6784668","","","","","35779998.7792969","209999.993443489","441989999.933168","29559999.4659424","18000000","","","","772099975.585938","474779998.779297","772099975.585938","474779998.779297","","","2539999.96185303","","","3630000.11444092","810000.002384186","3990000.00953674","2230000.01907349","","1789999.96185303","2890000.10490417","","","","","0.88129997253418","117200000",""
"Africa Eastern and Southern","AFE","1980","","","","201.144165731155","3.30836567535436","10.5471999025851","9.53194948425896","20.5416977326324","246130004.687234","349129995.346069","174080000.71533","","274110000.036657","1270000.02004206","116790001.150221","","","","","264750004.23193","33240000.1008063","3069670004.69007","364579999.532551","368000000","","","","10648089997.2916","4669250015.02037","10648089997.2916","4669250015.02037","","","3269999.98092652","","","107209998.995066","9549999.99329447","143499997.317791","39069999.9965727","","4789999.98234212","118260001.271963","","","","","","",""
"United Arab Emirates","ARE","2016","","0.79","3","7.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","0.960950016975403","","0.340000012889505"
"United Arab Emirates","ARE","1968","1120000","","","117.3","","","","6.18771216313454","","","","","","","","","","","","","","1129999.99523163","1129999.99523163","","","","","9739999.77111816","1129999.99523163","9739999.77111816","1129999.99523163","","","","","","","","","","","","","","","","","","10000",""
"Argentina","ARG","2001","33170000","35","67","19","0.0604054177334469","0.375454362275611","0.387515960985393","4.22903489983025","479999.989271164","129869995.117188","16510000.2288818","","449999.988079071","219999.998807907","39999.9991059303","","129999.995231628","","","180000.007152557","170000.001788139","139979995.43883","29999.9993294477","-469999.998807907","","","","250639999.389648","157639999.389648","250639999.389648","157639999.389648","","","-479999.989271164","","","","9999.99977648258","939999.997615814","1059999.94277954","","1929999.94754791","","","97.5","0.3","96.821662902832","1.01778995990753","52490000","23.7600001096725"
"Austria","AUT","1992","","","","8.6","","","","","","","","","","","","","","","","","","","","","227841","","","","","","","","","","","","","","","","","","","","","","","0.946590006351471","","9.84000015258789"
"Belgium","BEL","2016","","10","5","3.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.069659948349","","10.6900003552437"
"Benin","BEN","1995","149470000","","","155.4","13.2005157879274","60.3706566022136","30.3060119990122","47.5078362799267","2849999.90463257","16610000.6103516","12279999.7329712","119999.997317791","4940000.05722046","","-129999.995231628","","","","","50000.0007450581","16340000.1525879","194099999.932572","19999.9995529652","11000000","","","","339390014.648438","280559997.558594","339390014.648438","280559997.558594","","","1159999.9666214","","","1779999.97138977","810000.002384186","4010000.22888184","2000000","","2279999.97138977","5889999.8664856","","","1.3","30.2514991760254","","61030000","89.5599975585938"
"Benin","BEN","2011","532840000","67","458","108.6","6.29914405112146","38.2079196963616","27.7200437552223","71.0941911487421","28389999.3896484","63130001.0681152","26309999.4659424","1450000.04768372","27809999.4659424","","9999.99977648258","","9999.99977648258","","","349999.994039536","12149999.6185303","486999998.096377","70000.0002980232","188529998.779297","","","","655219970.703125","672609985.351563","655219970.703125","672609985.351563","","180000.007152557","850000.023841858","","600000.023841858","3859999.89509583","2089999.91416931","","7289999.96185303","","","-39999.9991059303","1070000.05245209","","1.2","71.6880187988281","0.809689998626709","86360000","88.7699966430664"
"Bahrain","BHR","1968","0","","","93.2","","","","0.996750607919343","","","","","","","","","","","","","","199999.999254942","140000.000596046","","","","","1840000.0333786","200000.002980232","1840000.0333786","200000.002980232","","","","","","","","","","","","","","","","","","200000",""
"Botswana","BWA","1965","9710000","","","144.7","20.0214114969428","169.606669807435","","18.392988861947","","","","","","","","","","","","","","9439999.6176362","9399999.61853027","","","","","84540000.9155273","10300000.1907349","84540000.9155273","10300000.1907349","","","","","","","","","","","","","","","","","","60000",""
"Canada","CAN","1996","","","","6.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.993770003318787","","10.1300002634525"
"Costa Rica","CRI","1989","139860000","","","17.8","4.64681702715102","16.1406842627626","8.81055725634624","74.1457353224828","70000.0002980232","5610000.1335144","8409999.84741211","","10140000.3433228","","460000.00834465","","","","","5130000.11444092","1409999.9666214","212589999.804273","5659999.84741211","144000000","","","","395410003.662109","225330001.831055","395410003.662109","225330001.831055","","","-219999.998807907","","","3960000.03814697","259999.990463257","6280000.20980835","140000.000596046","","769999.980926514","400000.005960464","","","","74.9445419311523","0.988430023193359","64350000",""
"Czech Republic","CZE","1974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.03006994724274","",""
"Germany","DEU","1987","","","","10","","","","","","","","","","","","","","","","","","","","","1683737","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","EAS","1988","","","","","0.163173321128581","0.499004292748971","","4.00659234949803","28580000.0168383","199080000.668764","3014339938.93489","","238220006.300136","55930000.057444","19939999.7219443","","0","","","101349999.547005","48640000.0769645","6169899959.73184","129510000.951588","317000000","","","","10505749917.8629","7081229995.41834","10505749917.8629","7081229995.41834","","","18759999.6328354","","","130550000.498071","25000000.1545995","61379999.7791648","54299999.6207654","","22530000.0086427","141839998.841286","","","","95.1396713256836","0.88221","",""
"Egypt, Arab Rep.","EGY","1989","560310000","","","90","4.18939992411701","13.0511745735305","12.1683606351824","30.0098478585701","140000.000596046","65279998.7792969","78650001.5258789","","29229999.5422363","","870000.004768372","","","","","449999.988079071","990000.009536743","1474499990.95313","16530000.6866455","905000000","","","","2860149902.34375","1644199951.17188","2860149902.34375","1644199951.17188","","","7139999.8664856","","","8319999.69482422","1320000.05245209","740000.009536743","3319999.9332428","","2359999.89509583","4789999.96185303","","","","","0.7985799908638","706320000",""
"Euro area","EMU","1982","","","","","0.0022411413532448","0.0095214214457773","0.0070315455909261","0.183973485792319","","660000.026226044","49999.9988824129","","49999.9988824129","","","","","","","","59999.9986588955","34770000.0293553","909999.97779727","","731227","","","153119995.117188","55959999.0844727","153119995.117188","55959999.0844727","","","","","","1549999.95231629","59999.9986588955","9539999.96185303","","","469999.987632036","4489999.77111816","","","","96.6234436035156","0.99899","",""
"Euro area","EMU","1983","","","","","0.0025654680574222","0.011299421895992","0.0084262288218869","0.205388997548417","","1849999.96423721","29999.9993294478","","39999.9991059303","","","","","","","","59999.9986588955","41509999.2752075","370000.004768371","1000000","","","","175629997.253418","62599998.4741211","175629997.253418","62599998.4741211","","","","","","820000.022649765","","5260000.22888184","","","510000.005364418","1250000","","","","96.3387603759766","1.00588","",""
"France","FRA","2005","","9.9","9","4.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.998440027236938","","6.52999997138977"
"Micronesia, Fed. Sts.","FSM","2007","106480000","168","123","43.4","41.8153652226396","","","1069.58885395217","","689999.997615814","9359999.65667725","","","170000.001788139","","","","","","","50000.0007450581","111340001.523495","","99580001.8310547","-12278","","","131559997.558594","111709999.084473","131559997.558594","111709999.084473","","","","","","","","","","","300000.011920929","","","","","","","5230000",""
"Gabon","GAB","1997","58380000","","","87.2","0.842240035820056","2.36970761862882","1.4183240858016","34.021653498767","1590000.0333786","8560000.4196167","389999.985694885","","100000.001490116","","","","","","","","","38849999.9456108","","2000000","9566","","","54900001.5258789","38830001.8310547","54900001.5258789","38830001.8310547","","","620000.004768372","","","230000.004172325","430000.007152557","180000.007152557","469999.998807907","","1149999.97615814","","","","4.8","68.9382705688477","0.968779981136322","35800000","42.7699995040893"
"United Kingdom","GBR","1976","","","","17.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.00734996795654","",""
"Greece","GRC","1987","","","","12.8","","","","","","","","","","","","","","","","","","","","","178887","","","","","","","","","","","","","","","","","","","","","","95.642822265625","0.983749985694885","",""
"Grenada","GRD","1987","7730000","","","26.1","9.18083537867726","","15.4945245939912","192.406327993629","9999.99977648258","1240000.00953674","50000.0007450581","","109999.999403954","","29999.9993294477","","","","","","","11289999.7793138","1039999.96185303","3000000","-15189","","","35610000.6103516","19129999.1607666","35610000.6103516","19129999.1607666","","","340000.003576279","","","330000.013113022","50000.0007450581","","","","209999.993443489","","","","","","","5930000",""
"High income","HIC","2013","","15","10","5.6","0.0007882100292384","0.0037342416105436","0.0020931124048409","0.336864002378842","269999.999552965","105069997.120649","21439998.9545345","499999.992549419","170000.001788139","2849999.90090728","11649999.7004867","9999.99977648258","149999.998509884","0","0","299999.989569187","989999.97600913","328369998.594746","5419999.92541969","28710000.2840161","","","","367869991.064072","395260001.063347","367869991.064072","395260001.063347","1685089.86383677","3619999.94516373","-1619999.98986721","2939157.50831366","422662.826254964","2465800.99128187","1835107.98215866","3385354.99572754","2811591.50600433","","0","182679.995894432","1618704.7213316","","0.315923326855709","98.6929321289063","0.99795","","9.39048404473526"
"Hong Kong SAR, China","HKG","1985","19999.9999999996","","","","0.0587346391623447","0.266824275784566","","3.75352801257951","19999.9995529652","","1250000","","9999.99977648258","","19999.9995529652","","","","","","","16720000.3899634","400000.005960464","","","","","57130001.0681152","20479999.5422363","57130001.0681152","20479999.5422363","","","","","","50000.0007450581","29999.9993294477","3650000.09536743","","","29999.9993294477","","","","","102.763748168945","1.03279995918274","20370000",""
"Haiti","HTI","1984","40750000","","","170","6.44110023106771","","21.0765758635122","18.6966699675858","1490000.00953674","5139999.8664856","1419999.95708466","","1639999.98569489","","","","","","","","939999.997615814","76149999.5458871","9999.99977648258","42000000","","","","281579986.572266","115819999.694824","281579986.572266","115819999.694824","","","2250000","","","4800000.19073486","910000.026226044","","1149999.97615814","","699999.988079071","2369999.88555908","","","","","","31950000",""
"Iran, Islamic Rep.","IRN","2003","65570000","20","39","28.9","0.0851900645418901","0.20270554720184","","1.92372774260277","4360000.1335144","5110000.1335144","11319999.6948242","529999.971389771","7699999.80926514","90000.0035762787","9699999.80926514","","39999.9991059303","","","360000.014305115","1389999.98569489","107750000.186265","1110000.01430511","529999.971389771","","","","166179992.675781","131050003.051758","166179992.675781","131050003.051758","","","","","","800000.011920929","2259999.99046326","10810000.4196167","2319999.9332428","","3559999.94277954","1159999.9666214","","","0.1","94.3632278442383","0.945330023765564","72040000","43.1099977493286"
"Iran, Islamic Rep.","IRN","1961","87270000","","","","3.00905702978976","11.6435076728805","","5.77392619773748","","","230000.004172325","","","","","","","","","","9999.99977648258","129540000.014007","","129000000","","","","855580017.089844","129800003.051758","855580017.089844","129800003.051758","","","","","","","","","","","","","","","","","","1960000",""
"Jamaica","JAM","1999","24050000","","","22.7","-0.20125936399674","-0.911791118361755","-0.382302681271745","-6.54466899746391","-79999.9982118607","5079999.92370605","-8180000.30517578","59999.9986588955","-2789999.96185303","29999.9993294477","360000.014305115","","","","","200000.002980232","","-17520000.6533415","4190000.05722046","-15300000.1907349","","","","-20370000.8392334","-17229999.5422363","-20370000.8392334","-17229999.5422363","","","-740000.009536743","","","-319999.992847443","219999.998807907","","930000.007152557","","1750000","","","98.4","1.5","","1.00741994380951","33710000","37.9100017547607"
"Jamaica","JAM","2005","93990000","4.1","80","19.8","0.414019231032214","1.44419684265202","0.627538503844945","15.9671532846715","2400000.09536743","16219999.3133545","-17940000.5340576","","-3980000.01907349","29999.9993294477","389999.985694885","","","","","289999.99165535","19999.9995529652","27789998.9765137","23139999.3896484","17770000.4577637","","","","51049999.2370605","43750000","51049999.2370605","43750000","","","-70000.0002980232","","490000.009536743","660000.026226044","","","1090000.0333786","","1649999.97615814","","","90.5","1.5","","","43040000","34.5799992084503"
"Latin America & Caribbean (excluding high income)","LAC","1979","","","","","0.27290710493081","1.1126489938886","1.62923729100016","4.5756933831107","22929999.8804927","25720000.3378093","152619999.742135","","194140002.138913","1030000.02913177","6729999.8998642","","","","","26569999.9183416","13999999.9515712","1163790002.53417","72679999.6271729","309000000","","","","3644200012.44545","1456170016.64639","3644200012.44545","1456170016.64639","","","0","","","83760000.3704429","0","3890000.0937283","9799999.90016222","","15909999.9181926","49670000.1452118","","","","86.9741973876953","0.99737","",""
"Latin America & Caribbean","LCN","2007","","45","88","23.8","0.174630222509177","0.778800742927355","0.617005671509472","11.7078579632297","84829999.7150898","1041790000.91553","225600000.523031","34710000.6695837","268809997.6331","4889999.93167818","276839997.641742","31339999.6962398","4929999.95313585","800000.011920929","0","202209998.458624","114599999.584258","5915730006.18816","-583360000.84877","1381100006.59712","-3784759","","","6924279982.32841","6674550062.17957","6924279982.32841","6674550062.17957","","14050000.205636","24629999.872297","","14159999.9908358","23899999.9649823","21829999.7597933","5840000.03710389","28640000.2241135","0","65610000.1502782","18319999.9611825","","","0.421622249009318","99.000602722168","1.02535","","33.1870532429796"
"Lower middle income","LMC","1970","","","","","1.91629324621856","5.49477600485333","","2.53110866507696","9969999.93547797","70820001.1085719","125019997.781143","","31539999.9897927","0","11599999.7835606","","","","","32839999.6384978","9770000.09641051","2778499998.62164","209510000.81189","1379000000","","","","19113829809.0994","3160299956.5471","19113829809.0994","3160299956.5471","","","","","","64409999.8176098","","1750000.02235174","21860000.0292063","","11500000.0987202","47959999.9506027","","","","50.5998001098633","0.65971","",""
"Maldives","MDV","1967","260000","","","286","","","","3.44246894584505","","","","","","","","","","","","","","300000.010058284","270000.010728836","","-2904","","","2819999.9332428","370000.004768372","2819999.9332428","370000.004768372","","","","","","","","","","","","","","","","","","110000",""
"Mexico","MEX","2011","437980000","21","43","18.5","0.0832386702406864","0.351858280871669","0.234976396600808","8.35832238071114","649999.976158142","86400001.5258789","-50299999.2370605","","109999.999403954","119999.997317791","8189999.5803833","29999.9993294477","90000.0035762787","","9999.99977648258","","579999.983310699","932600000.862032","5760000.22888184","372109985.351563","","","","967200012.207031","967020019.53125","967200012.207031","967020019.53125","","280000.001192093","4079999.92370605","","100000.001490116","29999.9993294477","1139999.98569489","","899999.976158142","","","","","","0.3","100.197532653809","1.02425003051758","108830000","28.8400001525878"
"Malta","MLT","2015","","8.5","7","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.205711364746","1.04007995128632","","9.41000019013881"
"Malta","MLT","1984","1350000","","","14.5","0.942434937328737","3.90601204208334","1.31313024532225","34.5137369738987","","1299999.95231628","39999.9991059303","","-9999.99977648258","","","","","","","","70000.0002980232","5639999.89815056","-180000.007152557","","","","","32580001.8310547","11409999.8474121","32580001.8310547","11409999.8474121","","","","","","170000.001788139","","","","","9999.99977648258","","","","","97.3192367553711","0.934689998626709","4910000",""
"New Caledonia","NCL","2008","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4800000488758"
"Norway","NOR","1986","","","","10.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.3220901489258","1.02851998806","",""
"Pakistan","PAK","1994","199240000","","","127.5","2.34234431360873","11.6908536792419","8.6565234672918","9.8633498787959","6860000.1335144","18719999.3133545","271040008.544922","","19329999.9237061","140000.000596046","10270000.4577637","","","","","3410000.08583069","14409999.8474121","527710013.739765","36470001.2207031","-53000000","","","","1443130004.88281","1187180053.71094","1443130004.88281","1187180053.71094","","","1409999.9666214","","","12130000.1144409","3390000.10490417","22020000.4577637","15630000.1144409","","3150000.09536743","35229999.5422363","","","0.1","","","177980000","65"
"Pakistan","PAK","1965","211000000","","","212.7","8.44917893318394","37.0257364439548","","9.79732570573679","","","32689998.626709","","1379999.99523163","","9999.99977648258","","","","","2390000.10490417","180000.007152557","453719985.404984","28260000.2288818","331359985.351563","","","","3324750000","498859985.351563","3324750000","498859985.351563","","","","","","","","","","","","","","","","","","4140000",""
"Pakistan","PAK","1989","374350000","","","142.2","3.0383407301316","15.7105671211458","11.675924361769","11.4198373257944","-1690000.05722046","12850000.3814697","177449996.948242","","26610000.6103516","19999.9995529652","7320000.17166138","","","","","10989999.7711182","5800000.19073486","695580000.51789","41380001.0681152","263000000","","","","1942699951.17188","1193520019.53125","1942699951.17188","1193520019.53125","","","1000000","","","13369999.8855591","1799999.95231628","58540000.9155273","10699999.8092651","","2730000.01907349","32880001.0681152","","","","","0.494610011577606","269900000",""
"Philippines","PHL","2013","688740000","543","136","30.6","0.0605317747777189","0.327725975002866","0.223596671249828","1.94252018926003","6070000.17166138","20979999.5422363","-401500000","2369999.88555908","7980000.01907349","10159999.8474121","21110000.6103516","19999.9995529652","29999.9993294477","29999.9993294477","79999.9982118607","23290000.9155273","10189999.5803833","230140010.302887","54830001.8310547","153080001.831055","","","","186089996.337891","192059997.558594","186089996.337891","192059997.558594","1505414.4859314","439999.997615814","2289999.96185303","2309362.6499176","418430.954217911","2071770.90644836","8302348.13690186","1813112.97416687","1931914.21031952","","","2770.99991217256","1400011.06262207","95.4","0.1","","","201430000","38.6399993896485"
"Philippines","PHL","1970","23260000","","","83.8","0.701060890595325","3.22078956607623","","1.28394945693305","19999.9995529652","9999.99977648258","19229999.5422363","","490000.009536743","","19999.9995529652","","","","","","19999.9995529652","41309999.4566291","180000.007152557","19000000","","","","288200012.207031","45970001.2207031","288200012.207031","45970001.2207031","","","","","","2720000.02861023","","","920000.016689301","","409999.996423721","610000.014305115","","","","","","15550000",""
"West Bank and Gaza","PSE","1982","","","","70","","","","","","","","","","","","","","","","","","","","","-61453","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pacific island small states","PSS","2000","","","128","29.0048667883212","10.8385802682798","67.2460966608482","18.2321264092688","197.477544281813","","52239998.459816","83749999.2251397","","29999.9993294478","22539999.9730289","100000.001490116","","","","","","49999.9988824129","368429997.351021","","145329999.027774","","","","578139991.283417","387540004.253387","578139991.283417","387540004.253387","","","-149999.996647239","","","2380000.03993511","589999.996125698","","1019999.98092651","","6389999.92981552","","","","","91.3357620239258","1.00881","","54.3755154901172"
"Pacific island small states","PSS","1981","","","","","7.23599445861042","24.1560640253267","11.7391484058136","108.614796592995","69999.998435378","18120000.3921986","13719999.9894947","","1570000.01147389","11390000.0154972","","","","","","","","144099999.912083","45840000.1376868","5000000","","","","378720007.475465","157839999.942109","378720007.475465","157839999.942109","","","","","","7099999.93443489","710000.010207295","","","","2169999.97571111","729999.974370002","","","","93.5193786621094","0.96723","",""
"Russian Federation","RUS","2016","","63","18","7.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.1429290771484","0.991859972476959","","6.20000019669532"
"Saudi Arabia","SAU","1963","10000","","","","-0.141873838668894","","","-0.560163304518452","","","9999.99977648258","","","","","","","","","","","-1990000.00022352","","-2000000","","","","-16600000.3814697","-2529999.97138977","-16600000.3814697","-2529999.97138977","","","","","","","","","","","","","","","","","","260000",""
"Singapore","SGP","1971","5680000","","","25.7","1.36782763094193","3.40708773023113","","14.6339155077353","","","6809999.94277954","","29999.9993294477","","9999.99977648258","","","","","","","28090000.2289564","18180000.3051758","","","","","203050003.051758","30920000.0762939","203050003.051758","30920000.0762939","","","","","","2470000.02861023","","","59999.9986588955","","300000.011920929","","","","","","","7250000",""
"San Marino","SMR","1985","","","","20.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.759117126465","1.03125","",""
"Somalia","SOM","1963","21550000","","","","14.0877045086627","146.662376023865","","10.369565432787","","1759999.99046326","","","","","","","","","","","","29089999.5565415","379999.995231628","7000000","","","","280970001.220703","30450000.7629395","280970001.220703","30450000.7629395","","","","","","","","","","","","","","","","","","3120000",""
"Sao Tome and Principe","STP","2001","16870000","117","173","79.3","52.4434813384979","","87.6909391041099","263.746893514616","","4949999.80926514","1049999.95231628","109999.999403954","59999.9986588955","","","","14020000.4577637","","","","","26890000.2390146","","70000.0002980232","","","","63139999.3896484","38180000.3051758","63139999.3896484","38180000.3051758","","","100000.001490116","","","159999.996423721","579999.983310699","","949999.988079071","","479999.989271164","360000.014305115","","","1.2","","","10470000","76.5900001525879"
"Chad","TCD","2003","126040000","152","1370","175.1","11.0307713645433","17.6265605752715","","26.8820508034546","620000.004768372","41419998.1689453","259999.990463257","330000.013113022","1559999.94277954","","50000.0007450581","","","","","310000.002384186","10109999.6566772","136949998.864904","1629999.99523163","7969999.79019165","","","","320589996.337891","251990005.493164","320589996.337891","251990005.493164","","","740000.009536743","","","5210000.03814697","1879999.99523163","","2900000.09536743","","2250000","4309999.94277954","","","2","31.9351997375488","0.601369976997375","41900000","93.6600017547608"
"East Asia & Pacific (IDA & IBRD countries)","TEA","1998","","","","45.7973039359535","0.551522452534956","1.70845053915071","2.10860785574869","4.42218957031865","31719999.762252","212780001.301318","3825239967.06307","9479999.98927116","34590002.0711124","46669999.8192489","45399999.8159707","","900000.020861626","","","82649999.9761582","29170000.1247227","6574409960.26434","125800001.272932","300040005.549789","","","","9917310056.20958","7770779838.91964","9917310056.20958","7770779838.91964","","","11180000.2474337","","","78859999.8336285","26579999.5120615","7710000.06049872","52379999.935627","","26200000.025332","30269999.3848801","","","","90.3183517456055","0.94954","","62.3770427042643"
"Togo","TGO","1985","147270000","","","157.9","15.2851422994703","87.4394974416953","22.3060316813952","34.0854901659663","370000.004768372","9369999.88555908","1730000.01907349","","769999.980926514","","189999.997615814","","","","","","259999.990463257","62660000.0653417","150000.005960464","8000000","","","","288700012.207031","110879997.253418","288700012.207031","110879997.253418","","","330000.013113022","","","3309999.94277954","349999.994039536","270000.010728836","430000.007152557","","519999.980926514","1740000.00953674","","","","33.9387283325195","0.561209976673126","29430000",""
"Thailand","THA","1961","26500000","","","141.3","0.969349112948325","6.92738489980107","","1.03953397106255","","","280000.001192093","","","","","","","","","","","28720000.0025332","","28000000","","","","196679992.675781","29340000.1525879","196679992.675781","29340000.1525879","","","","","","","","","","","","","","","","","","1220000",""
"Tajikistan","TJK","1976","","","","136.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","2009","","","88","22.242656983524","0.174691124457013","0.829045693986645","0.759358834541569","12.3971074237531","100210000.587627","946520005.345344","127180002.95572","38089999.8806416","256540005.829185","2149999.99478459","88929998.8225103","509999.992325903","2069999.96677041","179999.995976686","49999.998882413","132070000.348613","100780000.681058","6229160017.17187","67309999.8943508","1852450011.77862","","","","7074119987.01096","7032750074.3866","7074119987.01096","7032750074.3866","","6510000.07241964","9710000.20951036","","6099999.91953373","32680000.2641976","24819999.8736382","10260000.102222","22839999.79496","790000.021457672","","6710000.03628432","","","0.463841328974399","99.4800033569336","1.02783","","33.5816729510088"
"Trinidad and Tobago","TTO","2009","3670000","24","74","23.6","0.0369043004066841","","0.0773618433972836","5.07221840614627","","1590000.0333786","79999.9982118607","","","29999.9993294477","","","","","","","","6010000.06496907","439999.997615814","479999.989271164","","","","6599999.90463257","6699999.80926514","6599999.90463257","6699999.80926514","","","","","389999.985694885","340000.003576279","","","","","","","","","1.2","95.770751953125","","3150000","16.0600001811981"
"Tunisia","TUN","1971","25150000","","","169.6","6.53502197740448","29.3524510335319","","20.5610582686009","3410000.08583069","1049999.95231628","","","1299999.95231628","","29999.9993294477","","","","","2309999.94277954","319999.992847443","91549999.4140119","50000.0007450581","37000000","","","","604510009.765625","106430000.305176","604510009.765625","106430000.305176","","","","","","2950000.04768372","","","560000.002384186","","280000.001192093","6579999.92370605","","","","56.9210891723633","0.604870021343231","29050000",""
"Turkey","TUR","2017","1871840000","17","17","11.4","0.37117694997397","1.19365237880581","1.16136637278499","38.7986644156498","6539999.96185303","1606689941.40625","-27909999.8474121","670000.016689301","2329999.92370605","9999.99977648258","7699999.80926514","28709999.0844727","90000.0035762787","0","2589999.91416931","12600000.3814697","2420000.07629395","3062189970.27911","177580001.831055","41419998.1689453","1419610","","","3332689941.40625","3147209960.9375","3332689941.40625","3147209960.9375","","","9597805.02319336","830569.982528687","","150000.050663948","671601.116657257","13405039.7872925","1044000.0295639","","","","825829.327106476","","","89.7489013671875","0.964049994945526","231100000","28.1999998092652"
